page_name;disclaimer;page_id;page_category;classification
Andrus Strauss;Andrus Strauss;124185337598031;NA;Hope4SA
Free Dem Supporters;Free Dem Supporters;181039755097301;NA;Free Democrats
DA Nelson Mandela Bay;Democratic Alliance;111326403969815;Political party;DA
DA GPL;DA Gauteng Provincial Legislature;336794296437261;NA;DA
African Transformation Movement - ATM;African Transformation Movement - ATM;1854698871489243;NA;ATM
Western Cape Education Department;Western Cape Education Department;105398335585126;Government organisation;Government Institution
Vryheidsfront Plus Wes-Kaap / Freedom Front Plus Western Cape;Vryheidsfront Plus / Freedom Front Plus;147301545821830;NA;Vryheidsfront Plus
UNFPA;These ads ran without a disclaimer;158714780827513;Non-profit organisation;NGO/Civil Society
Democratic Alliance Kouga;Democratic Alliance;228597353852511;NA;DA
Rooies Strauss;Rooies Strauss;125128337503452;NA;Hope4SA
Pestalozzi Trust;Pestalozzi Trust;387815798032970;NA;NGO/Civil Society
Hope4SA;Hope4SA;189081630955563;NA;Hope4SA
The Organic Humanity Movement;The Organic Humanity Movement;222462974956649;NA;OHM
Notukela Makohliso;ACTIONSA;264019640131004;NA;ActionSA
Times LIVE;TimesLIVE;136956534616;Media/news company;Media Organization
DA Sundays River Valley - Zuurberg;Democratic Alliance;219459955135757;Political organisation;DA
Let's Talk Cape Independence;Let's Talk Cape Independence;110945727326646;Podcast;Unknown
Free Democrats of South Africa;Johan Reid;108598772340093;Political party;Free Democrats
Tree of Life Ministries｜Evangelism in Israel;These ads ran without a disclaimer;117592091643709;NA;Unknown
Democratic Alliance Buffalo City;Democratic Alliance;1501357930107569;NA;DA
Western Cape Government;Western Cape Government;740116816003959;NA;Government Institution
FW de Klerk Foundation;FW de Klerk Foundation;217696894929887;Non-profit organisation;NGO/Civil Society
Sihle Zikalala;Sihle Zikalala;434577883273454;NA;ANC
Midvaal Mayor Peter Teixeira;Midvaal Local Municipality;100827405690611;Public figure;DA
Democratic Alliance - Winterhoek Constituency - Uitenhage;Democratic Alliance;344618812954270;NA;DA
Cyril Ramaphosa Foundation;Cyril Ramaphosa Foundation;794336640617861;NA;NGO/Civil Society
Community Chest Durban;Community Chest Durban;141100792595323;Non-profit organisation;NGO/Civil Society
Free Speech Union South Africa;Free Speech Union South Africa;105758608971668;Non-profit organisation;NGO/Civil Society
Fx vintage signal;These ads ran without a disclaimer;195953520266426;NA;Unknown
Free State Insider;Free State Insider;1589964351310913;Newspaper;Media Organization
Muslimi;These ads ran without a disclaimer;101837288924546;Community group;Unknown
Cape Independence;Cape Independence;104304835182496;Community;Unknown
Protect Our Next;Protect Our Next;109039874092625;Non-profit organisation;NGO/Civil Society
Partners in Sexual Health;Partners in Sexual Health;111455384155;Non-profit organisation;NGO/Civil Society
Retief Odendaal NMB;Democratic Alliance;108067170798815;Politician;DA
Central News;Central News;246425659800809;Media/news company;Media Organization
Siyakwazi Youth Network;Siyakwazi Youth Network;1018230624896572;Community;NGO/Civil Society
Thisisacumen;Thisisacumen;446648162438519;Marketing agency;Company
TLU SA;TLU SA;107169379305548;Agriculture;Company
FAK;FAK;144954928909651;NA;Unknown
Business Insider;These ads ran without a disclaimer;20446254070;NA;Media Organization
Friedrich Naumann Foundation Africa;Friedrich Naumann Foundation;1005394976243306;Non-governmental organisation (NGO);NGO/Civil Society
新華香港;These ads ran without a disclaimer;1798435720478073;NA;Unknown
DA Alfred Nzo;Democratic Alliance;208900765645379;NA;DA
Namakwa Civic Movement;Namakwa Civic Movement;109959451227969;Community organisation;Unknown
Northern Cape Communities Movement;Northern Cape Communities Movement;110175825424755;Political organisation;Unknown
Mandela Bay Community Movement;Mandela Bay Community Movement;107207061699777;Non-governmental organisation (NGO);NGO/Civil Society
DA Phesheya Kwenciba;Democratic Alliance;145820531949409;NA;DA
DA Youth - West Region;Democratic Alliance;195518447717025;NA;DA
Milaap;These ads ran without a disclaimer;315603771494;NA;Unknown
HeraldLIVE - Nelson Mandela Bay;HeraldLIVE;123971017684407;Media/news company;Media Organization
Dear SA - Have Your Say;Dear S Africa;115864538089777;Non-profit organisation;NGO/Civil Society
Traverse Le Goff MP;Traverse Le Goff MP;1019691118063870;Politician;Unknown
Democratic Alliance - George;Democratic Alliance - George;116203939761515;NA;DA
DA SB Farrow Constituency;Democratic Alliance;115285961539966;NA;DA
World School Summit;These ads ran without a disclaimer;111292608712654;Educational consultant;Unknown
Judges Matter;Judges Matter;629021617133721;NA;NGO/Civil Society
Democratic Alliance - Dr Beyers Naude;Democratic Alliance;103026604639003;Political party;DA
Democratic Alliance Table Bay Constituency;Democratic Alliance Table Bay Constituency;101051196020136;Political party;DA
Inside Politics;Inside Politics;286506558722350;NA;Unknown
DA - New Horizon Constituency;Democratic Alliance;102611432892386;Political party;DA
Move To Help Foundation;These ads ran without a disclaimer;185561295623272;NA;Unknown
Department of Public Works and Infrastructure;Department of Public Works and Infrastructure;150985408633983;NA;Government Institution
Dr Gustav Bock;Dr Gustav Bock;100641775794941;Personal blog;Unknown
Institute of Directors South Africa;The Institute of Directors South Africa;1640348822924801;NA;Company
Democratic Alliance Merafong;Democratic Alliance Merafong;281514245300699;Government organisation;DA
Ukrainian Association of South Africa Українська Асоціація в ПАР;Ukrainian Association of South Africa Українська Асоціація в ПАР;634748496574609;NA;NGO/Civil Society
DA Ntsikana Constituency;Democratic Alliance;102803819053689;Political organisation;DA
Democratic Alliance Koukamma;Democratic Alliance;302547023620740;NA;DA
DA Enoch Mgijima Constituency;Democratic Alliance;512166072501361;NA;DA
Tigerix;These ads ran without a disclaimer;104256215927640;Musician/band;Unknown
SPAR2U;These ads ran without a disclaimer;110797505135395;Shopping service;Company
DA Atlantic Seaboard Ward 54;DA Atlantic Seaboard Ward 54;113978755978036;NA;DA
Andrew Whitfield, MP;Democratic Alliance;2086579854976264;NA;DA
God of World;These ads ran without a disclaimer;104868521318772;Games/toys;Unknown
Better Life SA;These ads ran without a disclaimer;310113398853760;NA;Unknown
United Independent Movement UIM;United Independent Movement UIM;104241524782377;Public figure;Other Political Party
CGTN;These ads ran without a disclaimer;565225540184937;NA;Media Organization
Dawnmoments;These ads ran without a disclaimer;127022853648701;NA;Unknown
Foundation for Agrarian Studies;These ads ran without a disclaimer;271489862947710;NA;NGO/Civil Society
Rotary International;These ads ran without a disclaimer;7268844551;NA;NGO/Civil Society
